%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 50
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute attrib_3 numeric
@attribute attrib_4 numeric
@attribute attrib_5 numeric
@attribute attrib_6 numeric
@attribute attrib_7 numeric
@attribute attrib_8 numeric
@attribute attrib_9 numeric
@attribute attrib_10 numeric
@attribute attrib_11 numeric
@attribute attrib_12 numeric
@attribute attrib_13 numeric
@attribute attrib_14 numeric
@attribute attrib_15 numeric
@attribute attrib_16 numeric
@attribute attrib_17 numeric
@attribute attrib_18 numeric
@attribute attrib_19 numeric
@attribute attrib_20 numeric
@attribute attrib_21 numeric
@attribute attrib_22 numeric
@attribute attrib_23 numeric
@attribute attrib_24 numeric
@attribute attrib_25 numeric
@attribute attrib_26 numeric
@attribute attrib_27 numeric
@attribute attrib_28 numeric
@attribute attrib_29 numeric
@attribute attrib_30 numeric
@attribute attrib_31 numeric
@attribute attrib_32 numeric
@attribute attrib_33 numeric
@attribute attrib_34 numeric
@attribute attrib_35 numeric
@attribute attrib_36 numeric
@attribute attrib_37 numeric
@attribute attrib_38 numeric
@attribute attrib_39 numeric
@attribute attrib_40 numeric
@attribute attrib_41 numeric
@attribute attrib_42 numeric
@attribute attrib_43 numeric
@attribute attrib_44 numeric
@attribute attrib_45 numeric
@attribute attrib_46 numeric
@attribute attrib_47 numeric
@attribute attrib_48 numeric
@attribute attrib_49 numeric
@attribute attrib_50 numeric
@attribute class {0, 1}
@data
-35.370544,396.864,-390.82135,66.41577,356.84412,407.1714,790.45776,-634.08276,960.46313,345.95654,-6.338745,183.7489,-28.315063,-361.89844,952.641,-889.77576,426.66675,430.7577,447.75098,581.8816,-62.34076,764.48254,761.99805,899.08093,963.428,-377.0193,614.1398,-695.63696,11.486084,-742.49554,-939.025,-36.08258,-375.26318,-34.82605,-902.59357,508.95813,522.7058,846.1824,981.6792,170.75928,847.6173,973.0504,-325.4723,-517.4423,-891.85016,875.8014,204.79236,23.47876,-881.2143,280.12842,0
-739.6041,744.10034,-999.75903,631.32983,852.39465,-959.7839,136.5487,94.993164,511.15308,-69.179565,-123.05914,446.10803,147.5122,-551.718,-274.2475,-458.50635,448.1554,663.13354,781.155,-83.869385,-526.79865,642.85376,263.59607,-547.8137,985.3801,83.47168,-882.59186,40.230347,-36.018555,354.77832,874.1223,685.33777,-256.91345,-735.6185,233.60278,606.47864,-737.5721,972.7938,149.19727,-464.1988,30.545532,-818.802,595.6731,645.11365,573.74023,-34.516724,653.79175,310.07532,-619.3517,-555.39453,0
62.947266,268.31018,-348.9051,-151.72925,973.3772,-364.13867,519.20715,-511.60114,-727.97046,717.1019,-155.40204,-359.22394,-438.7522,-423.56976,-848.238,407.7577,637.01624,-64.229675,-153.35217,259.83655,-856.41766,-879.8893,-549.2959,143.34497,-26.14386,-505.989,-733.47754,793.51135,940.05786,115.212524,625.5287,-793.4549,256.67065,-822.8082,-332.99774,-898.6206,457.82715,220.6969,459.03162,641.14966,-486.1582,65.01355,-804.1582,686.4436,-883.32666,-57.093933,192.25891,416.80798,-628.3136,-581.1133,1
-555.09766,283.9541,463.1538,-671.33466,-358.97394,949.5521,-746.47705,-801.66296,-330.24158,-887.53625,231.54541,385.06946,-73.18512,944.70935,-258.0517,526.75073,2.5905151,-767.5746,9.404419,-203.73376,-295.1358,-742.4855,-887.866,926.77405,-208.82422,957.6487,765.55286,-992.4504,-727.73486,966.7368,-456.04413,-354.3213,-303.2091,-235.07721,998.3048,-752.9253,-561.12646,356.62952,20.76947,891.00464,683.8374,-352.87695,761.7434,-444.4923,543.8522,2.518921,-577.3574,-703.2051,-465.99554,355.1095,1
-672.1373,393.9225,-499.3437,-344.65753,-178.1405,440.7323,-982.2212,473.7334,742.38635,-99.74274,-746.7277,-879.549,488.50708,-267.50635,-643.8829,777.2623,32.075684,364.6427,-473.4745,-174.01556,-386.04272,-506.36923,105.09131,809.5355,-678.6614,993.9153,253.26709,276.13647,-739.94293,549.29346,96.32007,134.16528,-384.04572,-464.3728,-438.7469,-915.3811,-458.16083,-847.89484,-434.00092,200.09277,511.7229,-168.13428,702.5292,-216.36145,551.5658,558.5043,-894.6575,-732.18536,585.8561,873.1957,1
808.1316,103.69995,-968.08264,-922.1358,565.2479,-658.4109,-271.08167,-576.9652,850.91907,919.54517,-693.8596,914.70483,-452.00262,552.9375,-824.8673,782.7782,699.3469,557.54395,472.9646,624.30566,-381.19287,940.7522,-511.13617,767.98,-355.00494,659.8468,374.104,502.03613,870.0388,73.32202,-734.91077,465.90967,-713.3351,300.6129,-657.84735,726.71387,-29.11621,-542.40875,-198.32635,-155.20917,153.8551,-450.37396,-763.3109,578.3041,-664.6666,-819.0395,-498.7437,785.0376,-47.57019,178.61072,1
-223.59875,-449.72925,-458.75098,730.9457,260.56592,602.80176,-184.70776,-294.4397,675.0437,-323.10358,-366.65796,438.005,604.97424,-363.85968,-559.12476,-527.60815,589.0415,895.8773,442.8777,486.8474,826.1028,964.1188,502.2616,-48.763306,384.55078,-233.48816,556.9159,941.53564,-119.70911,829.1604,209.74756,974.68286,731.7909,363.79016,-930.1005,729.6946,305.74414,832.95703,-590.3401,-914.7208,534.4591,668.7014,-249.59552,31.140625,-83.83026,-523.751,102.242065,699.61536,-797.95935,275.0681,0
-244.13647,-983.7609,-471.28638,-887.20746,-238.58167,282.28906,272.82727,-266.77765,528.0757,379.3098,484.0133,887.8224,339.25183,-774.92676,395.4558,350.83374,-997.6851,-387.61487,216.1759,731.3248,337.90674,-373.40308,176.78027,-228.79498,-237.15094,-535.35986,630.49646,-23.567688,831.9281,-332.14966,-96.11163,-850.6552,-722.3164,-467.19818,546.7279,673.25305,823.65137,-221.17212,-351.92224,246.13147,-154.65942,427.85376,-34.285645,168.44775,-185.4458,-708.3779,-241.39856,-739.11975,-613.5135,463.34668,1
417.2024,20.864868,-24.635925,-224.72113,253.99622,722.62683,-286.77856,-689.3718,146.64099,823.5497,797.7317,-252.27057,118.80762,-739.562,408.84143,-433.69678,-601.2169,-997.5638,-389.71442,-39.891357,13.521912,-426.93585,-49.112244,-322.76013,-444.09814,162.03784,-158.1214,948.77454,405.51904,-581.7551,210.29382,168.42981,388.43335,48.445923,-585.1607,-949.65985,-371.14197,941.98,959.44385,-380.98035,175.85828,699.9513,151.04065,-424.96997,880.70935,168.07959,-478.04462,-668.1783,-44.363647,-144.39929,1
-426.401,333.67554,-337.75708,968.3041,-803.0026,141.62048,-341.99597,191.99939,987.0148,-786.3405,-328.21063,333.40784,590.9569,-692.4151,384.4491,-541.32605,218.56873,-0.87628174,-341.91815,265.3999,489.26758,-64.901306,-412.32465,-917.6929,-96.21503,-869.24817,241.3949,111.330444,-598.7887,-127.67633,410.86743,-689.8434,698.77466,600.43994,210.39075,-341.07996,-589.4944,-473.1939,944.07227,-537.0281,-697.72876,676.1671,302.48608,-185.65747,464.49072,547.43945,-344.49536,367.7201,-329.82928,652.37866,0
975.55225,182.47168,-265.27295,-182.9035,-244.40613,540.4336,305.39014,321.1952,-821.2397,-630.09216,-818.1841,-298.75745,-248.41821,189.49304,-994.1452,-640.24164,-369.615,331.09558,957.2577,-2.1569824,-49.515503,-390.3435,953.4286,329.02734,610.3779,-422.15704,775.1575,-466.12317,-831.76843,-962.8511,526.59924,-520.6615,775.5249,-427.4416,-113.408325,-146.23071,402.79382,-463.87653,-280.2699,58.039307,4.998535,125.51514,789.44995,-54.943787,729.1134,986.8071,551.693,-685.4896,-215.88141,-883.544,1
306.56128,-553.40796,-826.3517,-254.35632,-653.3073,897.88794,-865.8674,-639.1473,164.91931,284.61426,826.3423,-952.2536,-729.9037,842.7987,595.8303,941.13,-291.17993,-818.02313,-52.16382,-278.02783,2.0804443,-161.58014,-725.1972,823.1682,-120.27887,-14.13446,-670.2712,-711.0691,-68.09192,976.1771,456.16028,78.397095,95.638794,-740.6937,-334.29608,12.241577,755.6472,671.39246,-203.48016,-468.2072,162.8927,-918.21936,-808.66724,973.34814,860.1455,954.1953,601.07654,-843.9097,-146.98749,-495.7397,1
350.3662,-259.7928,376.07178,-174.99219,-806.4303,-967.47534,-722.3827,-396.02765,745.32886,-299.8396,-717.1632,869.91907,-113.04187,198.41296,-305.91833,584.2095,130.22742,-372.6961,448.20752,-168.74133,-437.38593,201.88928,874.8004,864.49524,-296.81482,554.6676,-14.574646,328.68286,365.8523,684.1057,-327.1355,-393.57965,456.81665,-478.4842,-189.35754,-573.91284,-474.3974,809.2118,916.9596,-379.54236,-155.84674,266.0835,-216.51263,239.65466,-193.95758,862.42456,268.30286,-900.9262,517.93396,-565.9415,1
-686.4265,-717.6437,597.99817,836.50244,-827.57446,121.445435,-598.9281,-626.8761,815.7617,740.213,157.9303,-673.0664,538.6196,375.09534,-153.88928,-916.12683,-103.00818,375.63318,2.314331,556.1544,279.85608,-960.2404,141.48254,-602.59216,-342.50793,253.1377,965.229,-152.89252,345.98987,278.79846,122.38074,949.9347,989.18225,-17.214478,926.9658,366.45374,-616.9364,283.46484,144.05798,24.670532,-745.9184,676.6117,721.47034,457.74963,-348.47723,315.33984,-824.63464,-168.62964,225.53345,313.39026,1
-769.5694,-615.09717,-663.84644,692.2517,-729.6578,-706.21063,675.06067,-292.964,-828.17755,-193.78027,-119.44202,-837.0125,175.67017,-84.607605,-512.3378,773.95483,-409.2746,-200.64514,478.97656,-383.8888,331.80457,-206.37738,-311.63403,-705.34216,-439.77777,-242.52344,358.27307,-431.79828,-974.40564,353.04272,262.8485,864.95056,100.193115,-23.038147,-17.10785,-623.1789,952.20483,-132.34003,-845.06647,-767.9905,-178.18134,-743.0692,815.6039,623.5277,944.15295,342.74963,-676.21497,710.6593,305.60278,-669.0648,1
-233.15424,-387.75464,-874.7283,826.48596,243.60303,875.16174,-279.2708,451.11243,965.4774,428.3015,-752.58875,721.69763,-271.36212,221.83167,-306.43744,-54.88208,-16.24237,503.4463,-532.3062,-831.944,-533.6651,-2.211792,933.10864,66.14905,149.35779,132.16748,-675.86847,-934.9896,141.41992,-108.84143,-378.7556,-43.629517,-922.7754,-115.39142,-832.5779,805.7844,533.74084,-221.95715,-924.4693,-955.9421,54.103394,361.40955,806.7328,-707.2565,-527.32324,221.55493,-307.5782,-305.23212,-591.46545,-764.22406,0
627.2864,304.44604,30.92566,918.25024,678.6814,-563.1502,-500.86246,-971.90607,937.5626,784.6936,-159.51416,787.25525,-421.17975,-418.38953,-546.0077,-441.59912,-196.07654,123.88867,-86.3584,-102.592285,106.36597,-441.5547,293.932,-477.97522,130.48157,3.0166016,851.7666,-72.27661,-713.2209,785.2466,-427.44037,133.70605,-757.98285,870.5597,-175.24341,356.50024,-580.1731,394.40405,-834.1988,285.5122,727.7606,-377.33948,203.90503,74.3728,869.2274,-365.29242,343.8064,-836.1408,803.8523,-443.15625,0
231.03333,616.6284,187.37646,269.4662,758.0115,770.95264,-47.710022,169.60999,-393.31128,-289.8996,582.97095,791.1555,476.17493,-704.04095,-905.81995,868.2146,-619.77826,329.9475,239.33936,772.9061,698.2002,781.2223,55.10144,-833.0568,-975.4438,961.6334,491.29297,177.14429,-714.4436,-971.1644,580.3965,438.1975,-921.536,-736.57947,368.3098,941.6996,-262.89,192.88281,658.2025,788.7018,239.15747,-175.3128,511.86572,663.6909,744.18054,-997.3388,-591.9672,-868.8544,288.01135,-784.6166,0
-25.279663,701.50195,-42.36725,62.198364,292.724,-978.4274,732.22754,21.93689,-90.02307,-484.838,99.81665,171.37524,911.55884,-667.1715,-454.74573,64.92163,657.72253,565.4404,54.168945,113.967896,132.37903,-665.6173,888.77295,-506.19876,-762.93384,591.97107,65.28821,857.92114,-179.50092,248.83264,-800.93524,954.0608,751.38184,590.71716,682.29675,-386.83374,922.2351,-144.59363,-479.43024,522.0382,-285.42432,311.08875,-421.70062,-307.70514,160.86023,-789.2253,469.4508,-397.2312,-193.81696,-406.97314,1
878.75586,619.4015,102.79846,-942.5153,709.97473,486.1543,-936.88715,364.3656,131.57422,-567.5923,-148.1278,-9.671814,326.52405,756.7709,15.849487,-381.21497,551.74255,624.1814,129.4115,950.9575,974.0493,252.62549,776.92505,194.66736,673.3081,667.76025,998.0419,-878.9391,-810.2209,768.177,-410.52533,675.16943,41.517822,-429.00433,986.9614,784.4087,-251.00525,-803.06915,-156.31244,229.82288,77.932495,405.9286,876.51807,-771.91364,447.68652,-691.078,-931.03436,717.97485,-248.67279,258.20752,0
-100.096924,253.22229,194.90161,-141.60126,-90.39679,874.3838,187.19055,541.86475,619.7699,365.5271,797.5969,-782.98236,-408.20056,-102.72125,848.6344,-875.23975,-762.407,-784.0468,-679.18994,-772.1344,889.8158,259.19824,421.5276,-789.99225,593.5781,361.7904,405.95862,-524.3821,99.09241,60.92041,36.666138,418.69446,-385.06348,918.5082,430.08398,-331.85272,24.134155,-251.20496,961.7916,19.207825,-529.6627,-827.34314,-111.15259,324.896,488.9806,515.79297,-603.7293,748.47974,-811.65295,-273.85834,0
886.0963,467.3224,-621.92957,206.58228,-498.75165,170.46387,-2.3273315,242.18103,-887.19147,-493.26492,-284.68524,-953.05304,298.08752,-982.8436,147.01807,363.2621,198.22876,-975.17145,789.1902,17.857178,567.9071,457.4723,462.36743,-128.59479,816.01184,642.22974,-168.33417,-805.493,385.03088,739.2921,-600.492,-338.94843,-571.8187,670.37146,-741.22534,-129.37103,417.16052,149.98889,849.6041,-405.11542,49.718994,742.00183,980.64417,788.40063,625.0845,-259.2505,455.63647,-187.10156,916.5968,115.64563,1
-211.20398,-705.7461,494.73596,-239.99689,697.51733,565.0265,440.063,-150.67285,328.53052,740.90015,-565.58936,241.26685,-496.30518,137.64172,-670.00323,-461.1316,664.20496,-44.116516,469.95984,690.7252,-352.94012,944.24084,270.1411,-183.9242,-54.779297,-903.02405,870.76904,319.85107,682.9667,350.6277,-971.9701,302.12598,180.53088,714.72424,-160.66577,768.38513,-312.81946,-695.0967,-617.5813,-788.5353,629.48096,-657.53613,-102.74896,-237.0169,-448.43616,342.58057,751.0331,-698.46826,-183.2055,-565.8893,0
-899.57416,656.8447,95.31531,-962.86835,-98.552734,-636.3778,679.51746,-29.956299,-283.67566,-704.3635,-250.42767,-533.7162,627.9048,950.1986,853.73254,551.39075,-503.9322,155.0216,73.19031,764.3738,-223.1059,533.96594,608.8573,303.03076,174.19116,195.10742,-142.48792,331.07495,504.29138,-205.9787,-562.6639,-594.37683,328.87402,-622.87366,77.93762,-233.19135,146.88416,-775.60785,807.5425,-423.02032,235.4585,-712.3417,-549.89087,105.15283,591.0856,760.27356,-912.3002,323.0879,846.0654,-184.28815,1
848.5231,-587.44,-478.34454,-382.72107,-851.3636,279.10156,-471.87872,327.97266,-654.6201,325.69727,-566.7628,39.016113,-346.8147,-539.39087,-305.39044,287.53455,-872.51227,-403.27832,-212.47424,148.30054,-459.9574,745.49243,-41.142517,761.4238,-950.9717,216.80103,198.87708,-402.68127,-290.1042,-593.31006,946.672,762.22986,-921.99927,-811.80365,-968.8271,212.05493,421.63574,16.174683,398.63635,869.15515,394.1548,515.2145,288.75293,326.29285,-593.53625,540.4607,-304.6195,-926.2027,396.22485,-515.6535,1
184.2268,0.50427246,207.70618,-52.048706,-561.36176,295.97327,376.27917,803.9027,-734.02203,820.93884,754.1511,148.43909,220.90186,-485.09827,118.994995,-326.54254,488.17395,474.2262,674.7157,-414.9273,-783.51154,961.0536,183.67395,-646.58453,106.0918,792.8036,362.26184,299.1023,-273.16937,313.9839,-873.1914,-694.98645,779.57544,466.48035,-705.6332,787.71497,-687.19824,-648.54175,-576.9874,471.0686,767.4341,115.453,-381.13287,-524.72644,646.89136,995.18506,342.12927,767.78625,-404.40387,-79.91583,0
-488.01648,118.27197,-281.9593,-801.5332,540.32776,357.93958,-918.16956,502.7544,-683.1575,964.31836,521.9524,621.0836,-376.9978,775.73535,-900.1529,257.10413,-29.794312,-14.540894,-130.31384,-463.2807,437.28406,473.67395,-34.408875,819.97363,-274.7812,-993.844,447.35278,-81.75482,351.98254,-138.27795,-171.45947,881.3574,-322.00476,46.229736,759.71985,-853.82806,282.76257,-590.8949,-49.177917,-972.317,-894.1561,-300.91852,-909.45917,285.5835,720.3761,879.0353,-743.04315,813.7273,124.95508,-134.4953,0
-887.57996,376.86475,519.75696,266.6864,37.048218,-241.51666,-324.6419,-336.59875,-720.9733,685.5353,707.79236,-489.27094,-813.7754,460.29016,-659.03973,-166.28705,632.46936,-643.4974,67.583984,548.7362,-136.85016,526.5371,12.4823,-537.11914,158.64563,-581.95325,-242.98926,-213.22504,950.41284,513.256,901.1018,-657.85364,-676.6245,-419.15186,719.40515,-446.5055,199.61072,-430.08557,910.61694,784.00476,-77.86444,-222.62695,144.15796,-390.9759,-556.06433,984.7202,875.94336,-783.87427,-123.79669,-113.072876,0
-264.9394,278.99268,761.0797,325.75232,-324.24414,373.05005,108.02515,591.6903,-955.80023,-716.0165,969.26965,-626.7709,-272.91034,-594.0199,128.6211,-190.95325,-370.7832,834.7356,339.24365,-461.7741,-130.28967,-269.0293,469.83667,645.51965,291.7433,63.404663,-95.01648,963.157,148.06824,935.838,594.2582,-682.3738,154.8258,361.19653,256.0138,-0.66882324,-501.35266,-433.90436,-584.4008,-15.036133,837.1531,-307.31567,-805.9192,256.89612,-149.47699,-889.76825,62.375244,-59.16028,-518.103,457.1239,0
137.02441,922.4823,646.93945,4.6395264,-982.32446,-894.24274,897.97986,-32.922363,-347.3459,539.8595,295.72083,978.51355,267.84717,269.07178,-428.41803,-885.3388,-994.55664,948.9197,-443.67267,-440.97534,-407.0982,-975.8729,805.7002,-704.27576,-901.1473,578.29553,371.37,57.08496,631.459,842.18604,745.57117,162.27881,696.0962,786.9314,150.3949,-145.9831,853.03845,-769.5322,-452.2293,-726.5133,302.16223,-550.0847,13.751953,-690.56213,70.51294,-580.3955,450.80322,-784.4809,589.902,483.88684,1
4.357239,-889.3269,625.5349,525.82825,4.992981,260.6012,752.9971,507.3329,775.16504,-615.99084,879.7495,-366.79755,-780.51215,-864.447,668.62134,331.08276,-239.84003,-611.89856,144.60596,-258.78955,-115.807434,970.14087,-747.3951,-525.6825,336.68103,-890.1534,-317.41968,23.012146,824.43896,-4.449951,-110.081665,401.40222,986.8926,583.0342,912.62134,-660.3179,-653.7909,-936.7078,323.28442,-325.14136,-33.786865,-749.91187,452.6333,455.7422,-370.27747,554.8602,882.73364,-280.21454,-513.4868,187.21277,0
131.80652,901.3003,329.19983,-247.55731,-561.0856,-604.95654,-78.1015,513.2534,605.6102,926.10767,136.61597,241.00916,-37.029785,66.513916,-955.11383,-197.414,-293.74225,-509.15143,567.2551,-587.91797,75.797,377.74658,-199.20868,822.34766,-838.54156,-259.0271,-275.12018,639.50415,-530.50757,-586.6937,628.1322,-585.6802,-185.73157,-91.61389,-695.6731,-802.48413,-416.18866,450.13293,832.8695,841.7783,-23.147827,86.30737,-410.6574,-508.54495,-579.56323,-7.7730103,24.290894,421.62036,50.967896,-177.39008,1
-296.53064,-328.60907,877.88196,-716.0279,-879.64655,762.08386,-952.011,-23.045898,871.79736,199.00562,-510.16476,-2.592102,930.29614,426.36877,-858.72614,787.02856,951.39197,-561.96594,949.75793,288.76624,822.33704,-657.5244,883.6974,589.2092,988.2114,-161.42181,304.55188,-80.41846,484.26343,779.57007,223.15576,138.94958,-941.6746,785.6028,-799.895,-362.31024,284.73218,211.1914,948.8572,-23.783875,-848.7516,681.93115,-938.46924,513.42725,243.08972,-114.38837,701.2119,781.27844,-646.80035,-663.95135,0
